arm,group,long,short,sharpe,ann_ret_pct,ann_vol_pct,days_in_market_pct,max_dd,sh_05-10,sh_11-15,sh_16-20,sh_21-26,placebo_pctile,placebo_p95,mean_bps_per_event,t_per_event,n_events
XLK:w48h@+0,intraday,48h@+0h,-,0.677,4.26,6.29,3.1,-0.059,,,0.85,0.65,90.0,0.76,59.8,1.97,52.0
ETH:w6h@+0,intraday,6h@+0h,-,0.642,3.12,4.86,2.2,-0.078,,,1.9,0.35,99.0,0.428,51.8,2.24,53.0
BTC:w12h@+0,intraday,12h@+0h,-,0.632,4.77,7.55,2.2,-0.121,,,1.81,0.22,92.0,0.682,72.8,2.02,53.0
ETH:w12h@+0,intraday,12h@+0h,-,0.629,4.99,7.92,2.2,-0.119,,,1.54,0.42,98.0,0.548,76.0,2.01,53.0
QQQ:w48h@+0,intraday,48h@+0h,-,0.622,3.5,5.64,3.1,-0.053,,,0.8,0.6,84.0,0.873,50.3,1.84,52.0
BTC:w24h@+0,intraday,24h@+0h,-,0.595,5.52,9.27,2.2,-0.114,,,1.88,0.16,92.0,0.69,83.5,1.88,53.0
ETH:w24h@+0,intraday,24h@+0h,-,0.493,5.03,10.19,2.2,-0.112,,,1.47,0.28,91.0,0.589,78.4,1.59,53.0
BTC:w48h@+0,intraday,48h@+0h,-,0.474,5.92,12.48,2.2,-0.169,,,2.29,-0.06,84.0,0.7,91.3,1.51,53.0
XLK:w24h@+0,intraday,24h@+0h,-,0.469,2.13,4.54,3.1,-0.067,,,-0.08,0.72,80.0,0.823,32.9,1.48,52.0
SPY:w48h@+0,intraday,48h@+0h,-,0.442,1.99,4.51,3.1,-0.063,,,0.25,0.58,82.0,0.683,31.1,1.41,52.0
QQQ:w24h@+0,intraday,24h@+0h,-,0.423,1.73,4.09,3.1,-0.065,,,-0.23,0.75,80.0,0.638,27.9,1.38,52.0
QQQ:w6h@+0,intraday,6h@+0h,-,0.374,1.57,4.21,3.1,-0.073,,,-0.03,0.68,76.0,0.775,25.9,1.25,52.0
XLK:w6h@+0,intraday,6h@+0h,-,0.374,1.79,4.78,3.1,-0.08,,,0.08,0.6,80.0,0.66,28.6,1.21,52.0
IWM:w48h@+0,intraday,48h@+0h,-,0.345,2.13,6.17,3.1,-0.081,,,0.19,0.47,76.0,0.724,32.9,1.08,52.0
