sleeve,kind,tf,sym,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,ann_turnover,placebo_sharpe,n_obs,robust
ENSUSDT_4h_breakout,crypto,4h,ENSUSDT,-0.07957102034660134,,,-0.21412526665798193,0.40350877192982454,13.55984287415721,-1.2400144761785916,1705,False
COMPUSDT_4h_breakout,crypto,4h,COMPUSDT,0.025334722089778553,,,-0.2781379455007833,0.43243243243243246,12.349544732669877,-1.4238318044741511,2223,False
GRTUSDT_4h_breakout,crypto,4h,GRTUSDT,0.27946137309524893,,,-0.2544035029220557,0.4852941176470588,13.341549682183691,-0.8543830262945971,2051,False
IOTAUSDT_4h_breakout,crypto,4h,IOTAUSDT,0.20797395698269525,,,-0.27919630827000375,0.47435897435897434,14.042260390358594,-2.069272741374872,2362,False
RUNEUSDT_4h_breakout,crypto,4h,RUNEUSDT,0.4488149001563614,,,-0.18613403089935965,0.49295774647887325,13.832762272915422,-1.1535716055482301,2157,False
AAPL_4h_breakout,equity,4h,AAPL,0.3143125405508981,,,-0.22456620773138825,0.5172413793103449,10.800038112197141,0.1456112181564278,2603,False
ABBV_4h_breakout,equity,4h,ABBV,0.05139580353374161,,,-0.25651645660088385,0.4367816091954023,10.628366573467412,-0.10558926035304551,2603,False
ADBE_4h_breakout,equity,4h,ADBE,0.3798813613485796,,,-0.22371296043097444,0.4942528735632184,8.820273727852188,-0.4350458051323904,2603,False
AMD_4h_breakout,equity,4h,AMD,0.387596448406867,,,-0.20267138190863843,0.4942528735632184,5.63630788773922,-0.037919879503880455,2603,False
AMZN_4h_breakout,equity,4h,AMZN,0.10913066483253435,,,-0.1696230995408865,0.4827586206896552,9.453028495935765,-0.5173800323447777,2603,False
BA_4h_breakout,equity,4h,BA,0.28742466531136557,,,-0.24711393454558495,0.5287356321839081,8.769479103012573,-0.5257052792781306,2603,False
BAC_4h_breakout,equity,4h,BAC,0.2572718095522271,,,-0.2481836912094667,0.4942528735632184,10.648238362104808,-0.17127650599680197,2603,False
C_4h_breakout,equity,4h,C,0.26770405269791014,,,-0.17956000109535097,0.4942528735632184,8.835978959632733,-0.5203537959747242,2603,False
CAT_4h_breakout,equity,4h,CAT,0.43854411569687274,,,-0.25290429924179136,0.47126436781609193,9.72995053008742,-0.7319411537927933,2603,False
COP_4h_breakout,equity,4h,COP,0.009305469745144582,,,-0.3950198635715193,0.45977011494252873,9.301370147845553,-0.3099402355058818,2603,False
COST_4h_breakout,equity,4h,COST,0.2759903843193793,,,-0.2466066205962263,0.47126436781609193,13.595284339688458,-0.0914654708004057,2603,False
CRM_4h_breakout,equity,4h,CRM,0.2341956736980845,,,-0.22858802707092774,0.47126436781609193,8.93309737998009,-0.8265992764948482,2603,False
