kind,sym,tf,exit,sharpe,mc_p5,max_dd,months_in_profit,ann_turnover
equity,MSFT,1d,triple_barrier,0.1695341856144469,,-0.1692782752663584,0.30113636363636365,8.357502461838369
equity,MSFT,1d,time,0.08368217588619947,,-0.2851903956917332,0.39204545454545453,6.084142272392128
equity,MSFT,1d,channel,0.10561212091385448,,-0.31187170538430853,0.42613636363636365,3.6177935257966896
equity,MSFT,1d,atr_trailing,0.09954936064062161,,-0.3440533711762134,0.4147727272727273,4.065494472897015
equity,MSFT,1d,reversal,0.1552151665982681,,-0.5093623754746942,0.5511363636363636,2.6474284429917176
equity,NVDA,1d,triple_barrier,0.40942674719685884,,-0.19579194114039244,0.35795454545454547,5.283975539980679
equity,NVDA,1d,time,0.3667778042492158,,-0.24475255567640908,0.3693181818181818,3.666645731700239
equity,NVDA,1d,channel,0.477772399608552,,-0.2573207348947194,0.38636363636363635,2.263126851324409
equity,NVDA,1d,atr_trailing,0.4812065175568644,,-0.305825996788885,0.39204545454545453,2.4282774707654258
equity,NVDA,1d,reversal,0.5612482529628842,0.22373729020147728,-0.3537487888498718,0.5397727272727273,1.652143972265981
equity,JPM,1d,triple_barrier,-0.15220786087061025,,-0.29782170478931735,0.2840909090909091,9.027411918597469
equity,JPM,1d,time,-0.05190562276811689,,-0.35524677943133764,0.375,6.880725909660651
equity,JPM,1d,channel,-0.0819347618111774,,-0.5009105740630537,0.42045454545454547,4.16637021789117
equity,JPM,1d,atr_trailing,-0.31634796781597174,,-0.6182911777612972,0.36363636363636365,4.897911004059195
equity,JPM,1d,reversal,-0.0693776226162199,,-0.6263142444691645,0.4772727272727273,3.2626073373350275
crypto,BTCUSDT,4h,triple_barrier,0.1404863034889646,,-0.09505320839305864,0.4177215189873418,40.683286945775016
crypto,BTCUSDT,4h,time,0.4772353986691081,,-0.1848230846629546,0.4936708860759494,25.23895936033883
crypto,BTCUSDT,4h,channel,0.7471228836622748,0.12346447355315557,-0.12822224524645354,0.5189873417721519,21.495968719807834
crypto,BTCUSDT,4h,atr_trailing,0.5026783440746193,-0.1675831546434948,-0.16137236382934728,0.45569620253164556,23.355630277669952
crypto,BTCUSDT,4h,reversal,0.4381571433668646,,-0.2910328618429796,0.5063291139240507,18.518275072464302
crypto,ETHUSDT,4h,triple_barrier,0.6850939635817004,0.0046813995539284285,-0.09600206625172947,0.5949367088607594,30.790278536551245
crypto,ETHUSDT,4h,time,0.6270966832980505,-0.006817070276575105,-0.17405677083163207,0.5822784810126582,18.511015388628806
crypto,ETHUSDT,4h,channel,0.28543150706980014,,-0.2294960484477402,0.46835443037974683,16.964320447308307
crypto,ETHUSDT,4h,atr_trailing,0.5440358880174903,-0.13390569827746163,-0.24558230450772633,0.4810126582278481,17.76460495260793
crypto,ETHUSDT,4h,reversal,0.5710091892912529,-0.01069787894574737,-0.2324540674219111,0.5443037974683544,14.037529135519074
crypto,SOLUSDT,4h,triple_barrier,0.2762293423542104,,-0.1812727563816735,0.5774647887323944,24.279761562073464
crypto,SOLUSDT,4h,time,0.7217184802478989,0.07607947223139891,-0.15960681101335195,0.5070422535211268,12.835761758348209
crypto,SOLUSDT,4h,channel,0.6005858031103525,-0.07094745811623768,-0.17367577513041055,0.5352112676056338,11.498785338820786
crypto,SOLUSDT,4h,atr_trailing,0.994690910247318,0.30849615648733214,-0.13148861966703007,0.5633802816901409,11.690388246041284
crypto,SOLUSDT,4h,reversal,0.6282622621245099,-0.0573769971272877,-0.2296131098115748,0.4788732394366197,9.816060697534928
crypto,BNBUSDT,4h,triple_barrier,0.4732382592995422,,-0.14914501945939873,0.48717948717948717,34.613415367049285
crypto,BNBUSDT,4h,time,0.45058969524647274,,-0.21672539474133956,0.48717948717948717,21.443522713775742
crypto,BNBUSDT,4h,channel,0.22839871348799465,,-0.2171643459988858,0.44871794871794873,19.605624397365148
crypto,BNBUSDT,4h,atr_trailing,0.5774004944705777,-0.06362603233114533,-0.17390302865785323,0.5128205128205128,20.074958562919157
crypto,BNBUSDT,4h,reversal,0.04731056132458545,,-0.41880787405581843,0.4230769230769231,17.175597615730883
crypto,XRPUSDT,4h,triple_barrier,0.18894030497071929,,-0.10721598097503926,0.45569620253164556,24.164020099127033
crypto,XRPUSDT,4h,time,0.48947446718123283,,-0.2260663823776068,0.5316455696202531,15.934877245901129
