sleeve,kind,tf,family,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,turnover,placebo_sharpe,screened,wf_oos,accepted
ADAUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-8.534994896314512,,,-0.9958414336553898,0.0,7313.7721377959415,-18.529874566023075,False,,False
ADAUSDT_15m_breakout,crypto,15m,breakout,-5.152772850272713,,,-0.8957114767218701,0.08860759493670886,2754.760369132512,-9.400282429902688,False,,False
XMRUSDT_15m_trend,crypto,15m,trend,-2.1391415636585713,,,-0.8964886027128194,0.20512820512820512,1191.4607771918559,-30.337997354530827,False,,False
XMRUSDT_15m_carry,crypto,15m,carry,-0.20989675797172197,,,-0.2217223104769347,0.47435897435897434,542.3682715746594,-11.837757071871469,False,-0.07778036066867117,False
XMRUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-9.588254555578297,,,-0.9975340004684488,0.02564102564102564,8334.013340666039,-24.46651719215272,False,,False
XMRUSDT_15m_breakout,crypto,15m,breakout,-8.0527949669262,,,-0.972152017522665,0.05128205128205128,3274.4082924157765,-14.499172126359264,False,,False
LINKUSDT_15m_trend,crypto,15m,trend,-0.016522432556034167,,,-0.4490420186464805,0.5443037974683544,933.2176481403266,-24.944028207412558,False,-0.7619571397359856,False
LINKUSDT_15m_carry,crypto,15m,carry,0.15409188861843431,,,-0.2517781391876073,0.45569620253164556,520.8453980343847,-11.158820170499999,False,-0.2962930311912681,False
LINKUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-7.526472256960235,,,-0.9922479018642152,0.02531645569620253,6810.6859278603115,-18.478508162405987,False,,False
LINKUSDT_15m_breakout,crypto,15m,breakout,-4.987862830114367,,,-0.8877553152359972,0.0759493670886076,2732.6525648615407,-9.918077730624352,False,,False
XLMUSDT_15m_trend,crypto,15m,trend,-0.19440715503853478,,,-0.5492350129699662,0.45569620253164556,1130.213932910525,-27.6405816811668,False,-0.35519825519089876,False
XLMUSDT_15m_carry,crypto,15m,carry,-0.235958095194039,,,-0.3847680133083867,0.4936708860759494,624.9938069825183,-12.591547016035358,False,-0.7790961438598897,False
XLMUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-9.107683653242322,,,-0.9972316882360066,0.012658227848101266,8150.983381379623,-21.792515814112637,False,,False
XLMUSDT_15m_breakout,crypto,15m,breakout,-6.887130005411175,,,-0.95641628770917,0.02531645569620253,3216.9733269860226,-11.729076871942272,False,,False
BCHUSDT_15m_trend,crypto,15m,trend,-0.3583842715481636,,,-0.5615232396537629,0.4177215189873418,1155.593224228385,-27.33164144243117,False,,False
BCHUSDT_15m_carry,crypto,15m,carry,-0.45992409160388253,,,-0.39500186033981066,0.4177215189873418,687.0117840030582,-12.99863462469077,False,,False
BCHUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-8.281411407286058,,,-0.9970640593300268,0.0,8026.7118264846295,-19.971708013698255,False,,False
BCHUSDT_15m_breakout,crypto,15m,breakout,-4.370807978530134,,,-0.8794339110853285,0.10126582278481013,2960.961706897926,-10.643825572867575,False,,False
LTCUSDT_15m_trend,crypto,15m,trend,-0.9614138187029209,,,-0.7340826609956783,0.34177215189873417,1208.295753189096,-26.92864655954723,False,,False
LTCUSDT_15m_carry,crypto,15m,carry,-0.13429309093636377,,,-0.25697429140444894,0.5189873417721519,705.709265914175,-12.796010709865648,False,-1.5190956209588042,False
LTCUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-7.870214364351098,,,-0.9949725399607305,0.08860759493670886,8269.589730413625,-19.420550053568444,False,,False
LTCUSDT_15m_breakout,crypto,15m,breakout,-5.710970220496484,,,-0.9179110875712773,0.0759493670886076,3111.108024508568,-11.859135733413014,False,,False
HBARUSDT_15m_trend,crypto,15m,trend,-0.19326252265236576,,,-0.2902476667630014,0.46153846153846156,776.6906150252133,-27.488188911374444,False,,False
HBARUSDT_15m_carry,crypto,15m,carry,-0.7486668028520441,,,-0.39612622985757795,0.35384615384615387,422.0947241250994,-12.19758082594701,False,-0.24296461931430868,False
HBARUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-8.281579478107282,,,-0.9880522465331673,0.07692307692307693,5880.745196063187,-20.918274116900818,False,,False
HBARUSDT_15m_breakout,crypto,15m,breakout,-5.583455940928944,,,-0.8820711505694366,0.07692307692307693,2352.87959639275,-12.958879309868875,False,,False
