asset_class,symbol,tf,entry,sharpe,pnl_share,risk_contrib,n_obs
crypto,GRTUSDT,1d,ema,-0.22,-0.0011563668346463282,0.002478291437949118,2051
crypto,APTUSDT,1d,ema,-0.17,-0.00061148609124606,0.0024637758141161305,1382
crypto,1000PEPEUSDT,1d,ema,0.21,0.0007437366513223752,0.002463323329746547,1184
crypto,BNBUSDT,4h,blend,1.01,0.007194745253376693,0.0024380081222944916,3190
crypto,LINKUSDT,4h,blend,0.72,0.004023619955028591,0.0024343383849960653,2754
crypto,DOTUSDT,4h,blend,0.5,0.0018446443162552304,0.0023415329796218315,2170
crypto,OPUSDT,1d,ema,0.1,0.0004581426454094965,0.00231251130461101,1522
crypto,FILUSDT,1d,ema,0.17,0.0009368799827871887,0.002308397637285976,2115
crypto,TRXUSDT,4h,blend,0.75,0.0060327484721905125,0.0023037457424536275,2973
crypto,ARBUSDT,1d,ema,-0.52,-0.0015675396068777663,0.0023022557332375696,1227
crypto,LINKUSDT,1d,blend,0.75,0.00414140018571171,0.002273299605013002,2754
crypto,VETUSDT,1h,blend,0.51,0.0023187076630294097,0.002268212798447028,2360
crypto,LTCUSDT,4h,blend,-0.08,-0.0004651486103833014,0.0022670143324482785,3153
crypto,VETUSDT,4h,blend,1.07,0.006327336875023194,0.0022505372546082745,2929
crypto,BNBUSDT,1h,blend,0.55,0.0028459389985601435,0.0022498162295662857,2364
crypto,1000SHIBUSDT,1d,ema,0.45,0.002848925850755206,0.0022414334923182414,1909
crypto,ADAUSDT,4h,blend,1.0,0.005636330671275241,0.002217390293896204,3028
crypto,BCHUSDT,4h,blend,0.3,0.001448541183167523,0.0022120406073181374,2438
crypto,BNBUSDT,1d,blend,0.99,0.0073485376674397515,0.002209117127798696,3190
crypto,LINKUSDT,1h,blend,0.45,0.0020983542729065743,0.002202316631456302,2388
crypto,ADAUSDT,1h,blend,0.93,0.004383644815570598,0.0021936562158288236,2374
crypto,TRXUSDT,1h,blend,0.49,0.00317790706477854,0.002191321613735291,2390
crypto,ETCUSDT,4h,blend,0.55,0.003444309704453618,0.0021808979592681773,2972
crypto,XRPUSDT,1h,blend,0.67,0.003381809497654492,0.002164535724168739,2399
crypto,BCHUSDT,1h,blend,0.07,0.00035911579302168794,0.0021206904989380182,2404
crypto,XTZUSDT,4h,blend,0.37,0.0017911277230350264,0.0021161977873357133,2503
crypto,XRPUSDT,1d,blend,0.49,0.0022166549516662703,0.0021084390917161804,2399
crypto,1000LUNCUSDT,1d,ema,-0.43,-0.001553791028911453,0.0021075570894774852,1422
crypto,XRPUSDT,4h,blend,0.58,0.00369159360991181,0.0020985956243698457,3011
crypto,XLMUSDT,4h,blend,0.53,0.003309086160985757,0.002094226995880314,2984
crypto,DASHUSDT,4h,blend,0.34,0.001670712169628599,0.002087446142434921,2683
crypto,LTCUSDT,1h,blend,-0.29,-0.0012444888667071715,0.0020629024928544024,2396
crypto,XLMUSDT,1h,blend,0.77,0.0036954868412266274,0.0020594901960029103,2385
crypto,XTZUSDT,1h,blend,-0.05,-0.00021990371792225132,0.0020587404868096493,2368
crypto,DOTUSDT,1h,blend,-0.17,-0.0006251394999800912,0.0020392014175288245,2170
crypto,ADAUSDT,1d,blend,0.78,0.00408400524706305,0.0020324258334298564,3028
crypto,SOLUSDT,4h,blend,1.29,0.005372489430961624,0.0020052621721559456,2147
crypto,ETCUSDT,1h,blend,0.55,0.0025255382954074593,0.0020028291975236344,2389
crypto,ENSUSDT,1d,ema,-0.09,-0.00043726219480435266,0.0019847995157387588,1705
crypto,DASHUSDT,1h,blend,-0.18,-0.0008257066389184921,0.001972882764000859,2370
crypto,IOTAUSDT,1h,blend,-0.22,-0.0008793212980345067,0.001968775009305116,2362
crypto,XMRUSDT,4h,blend,0.33,0.001800474864748558,0.0019683715565746995,2696
crypto,DOGEUSDT,1h,blend,1.2,0.005792272885184734,0.0019669264235465563,2213
crypto,AVAXUSDT,4h,blend,1.08,0.004293593818132641,0.0019640060023560805,2138
crypto,ARBUSDT,1h,blend,0.01,2.9363521928323284e-05,0.001958973376735205,1227
crypto,GRTUSDT,4h,blend,0.66,0.0024380540407553655,0.0019453303484382985,2051
crypto,FILUSDT,4h,blend,0.63,0.002565478781154284,0.0019293766986240087,2115
crypto,NEARUSDT,4h,blend,0.91,0.0037303410758379165,0.001920595658316354,2116
crypto,DOGEUSDT,4h,blend,1.02,0.005528772620242688,0.0019200519019198818,2584
crypto,ZECUSDT,4h,blend,0.61,0.003096426529726209,0.0019188857904045044,2690
crypto,JASMYUSDT,1d,ema,0.74,0.003873321355145575,0.0019149565077660343,1564
crypto,1000PEPEUSDT,1h,blend,1.07,0.002591458951532571,0.0019071144333401133,1184
crypto,ALGOUSDT,1h,blend,0.22,0.000849650546321467,0.0018982018094457068,2237
crypto,ATOMUSDT,4h,blend,0.19,0.0008125697990882992,0.0018860869852036898,2651
crypto,LTCUSDT,1d,blend,0.05,0.00025165212246876033,0.001882162851370274,3153
crypto,ATOMUSDT,1h,blend,0.1,0.00042537643546775814,0.001874703175320334,2367
crypto,NEARUSDT,1h,blend,0.45,0.0017366845501557886,0.0018641799409169404,2116
crypto,FILUSDT,1h,blend,0.35,0.0014417654819425224,0.0018634802166009351,2115
crypto,BCHUSDT,1d,blend,0.24,0.000967371442078974,0.0018633160030885297,2438
crypto,GRTUSDT,1h,blend,0.13,0.00048596362292639667,0.0018552624562815857,2051
crypto,ZECUSDT,1h,blend,0.63,0.00305803110311726,0.001845340591996871,2369
crypto,CFXUSDT,1h,blend,0.26,0.0006940710032031576,0.0018407859983553712,1258
crypto,XMRUSDT,1d,blend,0.08,0.0004032779776868854,0.001839444739982027,2696
crypto,FETUSDT,4h,ema,0.13,0.0008750418575931059,0.0018335918600009924,2711
crypto,SOLUSDT,1d,blend,1.08,0.004471174650643381,0.0018322855219494133,2147
crypto,INJUSDT,4h,blend,1.1,0.003090541318412056,0.0018263510653111184,1445
crypto,ARBUSDT,4h,blend,-0.14,-0.0002618857806861983,0.001822892611418733,1227
crypto,IOTAUSDT,4h,blend,0.18,0.0008446116046516366,0.001817452623904246,2984
crypto,STXUSDT,4h,ema,0.1,0.0005681350645802693,0.0018156786227802564,2472
crypto,CFXUSDT,1d,ema,-0.28,-0.0007289553320489815,0.0018123209927216305,1258
crypto,CRVUSDT,4h,blend,0.46,0.0016158692947185976,0.0018048648562315423,2160
crypto,RUNEUSDT,4h,blend,0.96,0.0038258551179155037,0.0017960060015514386,2157
crypto,ALGOUSDT,4h,blend,0.62,0.002658755420031032,0.0017945986307210304,2597
crypto,IMXUSDT,1d,ema,-0.08,-0.0003085248897497174,0.0017831913150714376,1632
crypto,AAVEUSDT,4h,blend,0.09,0.000312271487896566,0.0017810100933882585,2115
crypto,OPUSDT,1h,blend,0.14,0.00037904885513763864,0.0017745867931065154,1522
crypto,AVAXUSDT,1h,blend,0.43,0.0015800409339347243,0.0017659786620669211,2138
crypto,RUNEUSDT,1h,blend,0.9,0.003794307532294217,0.0017601933251954762,2157
crypto,SOLUSDT,1h,blend,1.1,0.004522805286533964,0.0017378454945602877,2147
crypto,1000FLOKIUSDT,1h,blend,0.96,0.001993056557680804,0.0017349979767097266,1183
crypto,APTUSDT,1h,blend,-0.38,-0.0009670493204021414,0.0017109126168688294,1382
crypto,DOGEUSDT,1d,blend,0.68,0.004091232676946525,0.0016927617226542584,2584
crypto,DOTUSDT,1d,blend,0.46,0.0014731889769607018,0.001690163041021034,2170
crypto,1000FLOKIUSDT,4h,blend,1.23,0.0026483921821502917,0.00168255573157275,1183
crypto,HBARUSDT,1h,blend,0.19,0.0006838964944593966,0.0016783802123994146,1963
crypto,AAVEUSDT,1d,blend,0.13,0.00040732323646587435,0.0016651781404362258,2115
crypto,AVAXUSDT,1d,blend,0.8,0.0027903426210059423,0.0016521419320647155,2138
crypto,UNIUSDT,4h,blend,0.03,9.299214779017416e-05,0.0016488804395732653,2143
crypto,VETUSDT,1d,blend,0.66,0.0029863990766419457,0.0016472580123486882,2929
crypto,XTZUSDT,1d,blend,-0.07,-0.00022534611301919334,0.0016471617289458536,2503
crypto,ZECUSDT,1d,blend,0.36,0.0016717306293513039,0.0016290375939068758,2690
crypto,1000PEPEUSDT,4h,blend,1.08,0.0022439179105938232,0.0016250455705528505,1184
crypto,CFXUSDT,4h,blend,0.01,2.2005036387352492e-05,0.0016183815152399016,1258
crypto,INJUSDT,1d,blend,1.16,0.0032420586481173466,0.0016107096276275986,1445
crypto,OPUSDT,4h,blend,0.19,0.00048600265534432555,0.001608637069472793,1522
crypto,COMPUSDT,4h,blend,0.09,0.000307494937344319,0.0015858401782965351,2223
crypto,XMRUSDT,1h,blend,-0.77,-0.0033975679560517835,0.0015848047533378593,2371
crypto,INJUSDT,1h,blend,0.97,0.0023856596467623555,0.0015841093670332601,1445
crypto,STXUSDT,1h,blend,0.28,0.0006526876991421026,0.0015716182799156697,1257
crypto,IMXUSDT,1h,blend,0.46,0.001302636021503872,0.001552095736135119,1632
crypto,APTUSDT,4h,blend,-0.01,-2.169429750319487e-05,0.0015459910823188991,1382
crypto,AAVEUSDT,1h,blend,0.09,0.000354265987282746,0.0015459324693054316,2115
crypto,ATOMUSDT,1d,blend,0.26,0.0010548302870795432,0.0015393744411459594,2651
crypto,ETCUSDT,1d,blend,0.22,0.0008952570031550109,0.0015207945808906969,2972
crypto,JASMYUSDT,4h,blend,0.76,0.002272362961597692,0.0015152505701695681,1564
crypto,CRVUSDT,1h,blend,-0.39,-0.00135739346837773,0.0015112067649396385,2160
crypto,FETUSDT,1h,blend,0.89,0.0019348808971994629,0.001509663489485307,1292
crypto,ICPUSDT,1h,blend,0.2,0.0006498606796713928,0.001508329386414744,1908
crypto,RUNEUSDT,1d,blend,0.77,0.0027037526049758466,0.0015044911111805996,2157
crypto,COMPUSDT,1h,blend,-0.23,-0.0008693751125249047,0.0015037575891420091,2223
crypto,JASMYUSDT,1h,blend,0.58,0.0016366017055452237,0.0015003977529384977,1564
crypto,ICPUSDT,4h,blend,0.36,0.0011212306262626853,0.0014939687328892406,1908
crypto,SUIUSDT,1h,blend,0.45,0.0009601985946903018,0.0014792356605213275,1186
crypto,LDOUSDT,1h,blend,-0.03,-7.305167684842322e-05,0.0014634366768807752,1409
crypto,IMXUSDT,4h,blend,0.74,0.0018782924619210174,0.0014349732123595759,1632
crypto,UNIUSDT,1h,blend,-0.53,-0.0019808169141832827,0.0014322890100342334,2143
crypto,XLMUSDT,1d,blend,0.17,0.000776479437796603,0.0014314316656695882,2984
crypto,MKRUSDT,4h,blend,0.45,0.0016774576642994274,0.0014279308460912424,2179
crypto,STXUSDT,1d,ema,0.26,0.0014389427012124296,0.00142523100490864,2472
crypto,1000SHIBUSDT,4h,blend,0.89,0.00350092482006514,0.0014241919093185714,1909
crypto,1000SHIBUSDT,1h,blend,0.68,0.002529513702997,0.0014212671723155118,1909
crypto,LDOUSDT,4h,blend,-0.28,-0.0005809619199428855,0.0014143486140754705,1409
