asset_class,symbol,tf,group,spec,entry,direction,exit,gate,sharpe,sortino,max_dd,months_in_profit,ann_turnover,total_return,n_obs
crypto,BTCUSDT,5m,entry,blend|ls,blend,ls,-,-,-5.811,-12.397,-0.9675,0.051,966.6,-0.9668,2404
crypto,BTCUSDT,5m,entry,strength|ls,strength,ls,-,-,-15.09,-20.929,-1.0,0.0,3641.9,-1.0,2404
crypto,BTCUSDT,5m,direction,"ema|fast50,slow200|reversal|long_only",ema,long_only,reversal,-,-1.21,-2.543,-0.7371,0.329,495.6,-0.6648,2404
crypto,BTCUSDT,5m,direction,"ema|fast50,slow200|reversal|short_only",ema,short_only,reversal,-,-2.135,-4.317,-0.8252,0.291,467.2,-0.8161,2404
crypto,BTCUSDT,5m,direction,"ema|fast50,slow200|reversal|asym",ema,asym,reversal,-,-1.712,-3.154,-0.8245,0.278,635.7,-0.7971,2404
crypto,BTCUSDT,5m,exit,"ema|fast50,slow200|atr_trailing|ls",ema,ls,atr_trailing,-,-8.117,-11.229,-1.0,0.038,2944.8,-1.0,2404
crypto,BTCUSDT,5m,exit,"ema|fast50,slow200|channel|ls",ema,ls,channel,-,-9.692,-13.441,-1.0,0.0,3396.4,-1.0,2404
crypto,BTCUSDT,5m,gate,"ema|fast50,slow200|g:adx|reversal|ls",ema,ls,reversal,adx,-1.993,-3.291,-0.9242,0.253,841.6,-0.9117,2404
crypto,BTCUSDT,5m,gate,"ema|fast50,slow200|g:ltf|reversal|ls",ema,ls,reversal,ltf,-2.3,-3.805,-0.948,0.241,962.8,-0.9396,2404
crypto,BTCUSDT,5m,gate,"ema|fast50,slow200|g:vol|reversal|ls",ema,ls,reversal,vol,-2.333,-3.796,-0.9499,0.215,943.2,-0.942,2404
crypto,BTCUSDT,5m,headline,blend|long_only,blend,long_only,-,-,-3.814,-8.525,-0.805,0.139,502.9,-0.7974,2404
crypto,BTCUSDT,5m,headline,blend|asym,blend,asym,-,-,-4.831,-10.449,-0.8854,0.076,642.0,-0.8818,2404
crypto,ETHUSDT,1d,entry,"ema|fast20,slow100|reversal|ls",ema,ls,reversal,-,0.412,0.55,-0.3366,0.491,2.0,0.59,3271
